path	author	header	created	sphere	topic	style	audience_age	audience_level	audience_size	source	publication	publ_year	medium	country	region	language
plain/2018/10/27/В Дубне отметят Всемирный день борьбы с инсультом.txt	ОД	В Дубне отметят Всемирный день борьбы с инсультом	27.10.2018	публицистика	Здоровье	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zdorove/5890-v-dubne-otmetyat-vsemirnyj-den-borby-s-insultom	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/27/ОЭЗ «Дубна» и два ее резидента стали участниками кластера «Безопасность».txt	ОЭЗ «Дубна»	ОЭЗ «Дубна» и два ее резидента стали участниками кластера «Безопасность»	27.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5889-oez-dubna-i-dva-ee-rezidenta-stali-uchastnikami-klastera-bezopasnost	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/27/Непроводящий висмут с сурьмой оказался топологическим сверхпроводником.txt	Татьяна Небольсина	Непроводящий висмут с сурьмой оказался топологическим сверхпроводником	27.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5886-neprovodyashchij-vismut-s-surmoj-okazalsya-topologicheskim-sverkhprovodnikom	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/26/Семинары налоговой службы.txt	ИФНС №12	Семинары налоговой службы	26.10.2018	публицистика	Образование	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obrazovanie/5883-seminary-nalogovoj-sluzhby	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/26/В Дубне выявлены нелегальные такси.txt	ОД	В Дубне выявлены нелегальные такси	26.10.2018	публицистика	Безопасность	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/proisshestviya/5882-v-dubne-vyyavleny-nelegalnye-taksi	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/26/Польские делегаты в ОИЯИ.txt	Кирилл Свояков	Польские делегаты в ОИЯИ	26.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5880-polskie-delegaty	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/25/Проект ОИЯИ стал одним из лучших проектов молодых ученых России.txt	Кирилл Свояков	Проект ОИЯИ стал одним из лучших проектов молодых ученых России	25.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5875-proekt-oiyai-stal-odnim-iz-luchshikh-proektov-molodykh-uchenykh-rossii	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/25/Вакансии на 25 октября.txt	ЦЗН г. Дубны	Вакансии на 25 октября	25.10.2018	публицистика	Профессионал	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/professional/5878-vakansii-na-25-oktyabrya	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/25/Илья Франк самолет и человек.txt	Наталия Теряева	Илья Франк: самолет и человек	25.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5877-ilya-frank-samolet-i-chelovek	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/25/Об изменениях в Правила возврата водительского удостоверения.txt	ОГИБДД по г.о. Дубна	Об изменениях в Правила возврата водительского удостоверения	25.10.2018	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/avtomobil/5874-ob-izmeneniyakh-v-pravila-vozvrata-voditelskogo-udostovereniya	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/24/По инициативе резидента ОЭЗ Дубна восстановлен полигон Альтернативная энергетика.txt	"ОЭЗ ""Дубна"""	"По инициативе резидента ОЭЗ ""Дубна"" восстановлен полигон ""Альтернативная энергетика"""	24.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5866-po-initsiative-rezidenta-oez-dubna-vosstanovlen-poligon-alternativnaya-energetika	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/24/По указанию ГЖИ УК переодела трубы.txt	Кирилл Свояков	По указанию ГЖИ УК переодела трубы	24.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5873-po-ukazaniyu-gzhi-uk-pereodela-truby	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/24/Выбор дворов.txt	Администрация г. о. Дубна	Выбор дворов	24.10.2018	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/5871-vybor-dvorov	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/24/Оценить качество оказания государственных услуг в налоговой инспекции помогают новые технологии .txt	ИФНС №12	Оценить качество оказания государственных услуг в налоговой инспекции помогают новые технологии 	24.10.2018	публицистика	Законы	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zakony/5870-otsenit-kachestvo-okazaniya-gosudarstvennykh-uslug-v-nalogovoj-inspektsii-pomogayut-novye-tekhnologii	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/23/В Дубне полицейские провели акцию Я за мир во всем мире.txt	И. Л. Михайлова	"В Дубне полицейские провели акцию ""Я за мир во всем мире"""	23.10.2018	публицистика	Образование	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obrazovanie/5865-v-dubne-politsejskie-proveli-aktsiyu-ya-za-mir-vo-vsem-mire	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/23/Госуслуги обучающий семинар для пенсионеров Дубны.txt	МФЦ г. Дубны	Госуслуги: обучающий семинар для пенсионеров Дубны	23.10.2018	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/5869-gosuslugi-obuchayushchij-seminar-dlya-pensionerov-dubny	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/23/Комсомол третья версия за сто лет.txt	Наталия Теряева	Комсомол: третья версия за сто лет	23.10.2018	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/5863-komsomol-tretya-versiya-za-sto-let	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/23/Завтра пройдет форум Управдом.txt	Администрация г. о. Дубна	"Завтра пройдет форум ""Управдом"""	23.10.2018	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/5867-zavtra-projdet-forum-upravdom	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
